key,year,team,team_id,league,division,wins,payroll_rank,payroll_total,avg_hit_angle,anglesweetspotpercent,avg,slg
2024SD,2024,Padres,SD,NL,West,93,15," $153,765,453 ",13.2,35.3,0.263,0.42
2024HOU,2024,Astros,HOU,AL,West,88,3," $237,303,141 ",13.5,34.1,0.262,0.418
2024AZ,2024,D-backs,AZ,NL,West,89,14," $156,511,716 ",12.8,32.2,0.263,0.44
2024KC,2024,Royals,KC,AL,Central,86,20," $105,219,570 ",13.8,32.2,0.248,0.403
2024BAL,2024,Orioles,BAL,AL,East,91,23," $94,495,168 ",14.5,34.3,0.25,0.435
2024STL,2024,Cardinals,STL,NL,Central,83,11," $164,301,667 ",13.1,34.4,0.248,0.392
2024LAD,2024,Dodgers,LAD,NL,West,98,8," $220,691,666 ",15.5,36.8,0.258,0.446
2024MIN,2024,Twins,MIN,AL,Central,82,18," $118,886,590 ",15,35.1,0.246,0.411
2024TOR,2024,Blue Jays,TOR,AL,East,74,7," $221,876,784 ",13.4,34.2,0.241,0.389
2024TEX,2024,Rangers,TEX,AL,West,78,6," $221,955,000 ",13.9,32.4,0.238,0.38
2024WSH,2024,Nationals,WSH,NL,East,71,21," $95,371,429 ",10.7,30.5,0.243,0.375
2024PHI,2024,Phillies,PHI,NL,East,95,4," $236,182,617 ",12.8,34,0.257,0.425
2024NYY,2024,Yankees,NYY,AL,East,94,2," $293,666,666 ",12.7,34,0.248,0.429
2024MIA,2024,Marlins,MIA,NL,East,62,28," $83,710,000 ",9.7,32,0.244,0.378
2024CLE,2024,Guardians,CLE,AL,Central,92,27," $86,433,928 ",14.4,33.1,0.238,0.395
2024NYM,2024,Mets,NYM,NL,East,89,1," $301,731,074 ",12.9,33.7,0.246,0.415
2024CHC,2024,Cubs,CHC,NL,Central,83,9," $216,330,000 ",14.5,34.2,0.242,0.393
2024ATL,2024,Braves,ATL,NL,East,89,5," $225,315,000 ",13.8,34.1,0.243,0.415
2024SF,2024,Giants,SF,NL,West,80,10," $188,767,909 ",14.3,33.6,0.239,0.396
2024MIL,2024,Brewers,MIL,NL,Central,93,24," $94,484,960 ",11.5,31.9,0.248,0.403
2024BOS,2024,Red Sox,BOS,AL,East,81,12," $162,324,847 ",13.2,34.3,0.252,0.423
2024PIT,2024,Pirates,PIT,NL,Central,76,29," $72,014,000 ",11.7,33,0.234,0.371
2024DET,2024,Tigers,DET,AL,Central,86,22," $95,073,933 ",14.5,34.3,0.234,0.385
2024CWS,2024,White Sox,CWS,AL,Central,41,19," $117,773,333 ",13.1,34.5,0.221,0.34
2024LAA,2024,Angels,LAA,AL,West,63,13," $158,818,094 ",13,34,0.229,0.369
2024OAK,2024,Athletics,OAK,AL,West,69,30," $47,905,000 ",13.8,33.7,0.233,0.393
2024TB,2024,Rays,TB,AL,East,80,26," $88,066,012 ",13.2,32.6,0.23,0.366
2024CIN,2024,Reds,CIN,NL,Central,77,25," $88,123,333 ",14,34.1,0.231,0.388
2024COL,2024,Rockies,COL,NL,West,61,16," $134,099,285 ",12.8,34.8,0.242,0.4
2024SEA,2024,Mariners,SEA,AL,West,85,17," $129,158,333 ",15.4,33.8,0.224,0.376
2023WSH,2023,Nationals,WSH,NL,East,71,24," $79,983,095 ",11.3,34,0.254,0.396
2023CLE,2023,Guardians,CLE,AL,Central,76,26," $75,010,000 ",11.7,34.3,0.25,0.381
2023HOU,2023,Astros,HOU,AL,West,90,11," $180,888,333 ",13.2,34.5,0.259,0.437
2023ATL,2023,Braves,ATL,NL,East,104,8," $199,727,500 ",12.1,34.6,0.276,0.501
2023TOR,2023,Blue Jays,TOR,AL,East,89,6," $205,680,777 ",13,34.8,0.256,0.417
2023AZ,2023,D-backs,AZ,NL,West,84,19," $112,763,571 ",10.8,33.1,0.25,0.408
2023MIA,2023,Marlins,MIA,NL,East,84,23," $81,075,000 ",10.2,33.9,0.259,0.405
2023LAD,2023,Dodgers,LAD,NL,West,100,5," $218,332,634 ",15.5,36.8,0.257,0.455
2023BOS,2023,Red Sox,BOS,AL,East,78,13," $175,783,182 ",12.3,33.5,0.258,0.424
2023TEX,2023,Rangers,TEX,AL,West,90,9," $183,578,160 ",14.3,35.6,0.263,0.452
2023STL,2023,Cardinals,STL,NL,Central,71,16," $147,770,834 ",13,33.2,0.25,0.416
2023BAL,2023,Orioles,BAL,AL,East,101,27," $64,907,966 ",13.4,33.6,0.255,0.421
2023CHC,2023,Cubs,CHC,NL,Central,83,12," $180,115,000 ",12.4,34.5,0.254,0.421
2023SD,2023,Padres,SD,NL,West,82,3," $236,962,024 ",13.2,31.7,0.244,0.413
2023TB,2023,Rays,TB,AL,East,99,28," $64,652,911 ",12.4,31.5,0.26,0.445
2023CWS,2023,White Sox,CWS,AL,Central,61,10," $180,911,666 ",10.7,32.7,0.238,0.384
2023PHI,2023,Phillies,PHI,NL,East,90,4," $232,424,939 ",13.2,34.8,0.256,0.438
2023KC,2023,Royals,KC,AL,Central,56,25," $75,825,000 ",13.4,35.1,0.244,0.398
2023NYM,2023,Mets,NYM,NL,East,75,1," $334,233,332 ",13.3,32.6,0.238,0.407
2023DET,2023,Tigers,DET,AL,Central,78,21," $105,338,500 ",13.3,33.1,0.236,0.382
2023CIN,2023,Reds,CIN,NL,Central,82,22," $86,374,500 ",13.8,33.8,0.249,0.42
2023MIL,2023,Brewers,MIL,NL,Central,92,20," $108,644,960 ",11.7,31.7,0.24,0.385
2023LAA,2023,Angels,LAA,AL,West,73,7," $204,088,094 ",13.6,32.9,0.245,0.426
2023PIT,2023,Pirates,PIT,NL,Central,76,29," $60,787,500 ",11.9,33.3,0.239,0.392
2023COL,2023,Rockies,COL,NL,West,59,15," $166,250,466 ",12.8,35,0.249,0.405
2023SF,2023,Giants,SF,NL,West,79,14," $175,590,000 ",13.8,33.8,0.235,0.383
2023NYY,2023,Yankees,NYY,AL,East,82,2," $268,954,047 ",13,34.1,0.227,0.397
2023SEA,2023,Mariners,SEA,AL,West,88,18," $129,814,047 ",15,34.8,0.242,0.413
